TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
00:01:31:128,0.03,-0.21,1.31,-0.25,0.02,-0.1,Ban Normal
00:01:31:228,-0.03,-0.1,1.17,-0.03,-0.03,-0.08,Ban Normal
00:01:31:328,-0.02,-0.24,0.8,0.03,-0.08,-0.01,Ban Normal
00:01:31:428,-0.08,-0.35,0.76,-0.06,0,0.01,Ban Normal
00:01:31:528,-0.03,-0.3,0.98,-0.1,0.08,0,Ban Normal
00:01:31:627,-0.03,-0.16,1.06,-0.09,0.03,0.01,Ban Normal
00:01:31:728,-0.01,-0.23,1.21,-0.12,0.09,0,Ban Normal
00:01:31:828,-0.01,-0.27,1.02,-0.09,0,-0.03,Ban Normal
00:01:31:928,-0.01,-0.36,0.86,-0.07,0.08,-0.05,Ban Normal
00:01:32:028,-0.03,-0.3,0.99,-0.1,0.02,-0.08,Ban Normal
00:01:32:127,-0.03,-0.37,1.01,-0.22,0.05,-0.08,Ban Normal
00:01:32:228,0.01,-0.2,1.22,-0.03,-0.04,-0.08,Ban Normal
00:01:32:328,0,-0.16,0.99,-0.08,-0.02,-0.05,Ban Normal
00:01:32:428,-0.03,-0.19,0.96,0.12,-0.13,-0.06,Ban Normal
00:01:32:528,-0.05,-0.48,0.95,0,0.02,-0.03,Ban Normal
00:01:32:628,-0.04,-0.4,0.72,0,-0.06,-0.01,Ban Normal
00:01:32:728,0.01,-0.2,0.88,0.02,-0.04,0.01,Ban Normal
00:01:32:827,-0.03,-0.16,1.05,0.02,0.08,0.03,Ban Normal
00:01:32:928,-0.02,-0.12,1.18,-0.09,-0.03,0.01,Ban Normal
00:01:33:028,-0.05,-0.23,1.01,-0.08,0.01,0.02,Ban Normal
00:01:33:128,-0.02,-0.22,0.85,-0.04,-0.08,0.02,Ban Normal
00:01:33:227,-0.06,-0.25,0.9,-0.11,0.05,0.01,Ban Normal
00:01:33:328,-0.03,-0.32,0.92,-0.14,0.03,0,Ban Normal
00:01:33:428,-0.02,-0.3,1.16,-0.1,0.15,0.01,Ban Normal
00:01:33:528,-0.01,-0.17,1.14,0.08,0.04,-0.01,Ban Normal
00:01:33:628,0,0.08,0.81,-0.05,-0.06,0.03,Ban Normal
00:01:33:728,-0.02,-0.31,1.29,-0.01,0.23,0,Ban Normal
00:01:33:828,-0.06,-0.39,1.18,-0.15,0.15,-0.04,Ban Normal
00:01:33:928,0.06,-0.3,0.55,-0.15,-0.24,-0.08,Ban Normal
00:01:34:028,-0.04,-0.34,0.8,-0.04,0.12,-0.03,Ban Normal
00:01:34:128,-0.08,-0.37,1.07,0.14,0.01,-0.06,Ban Normal
00:01:34:228,-0.06,-0.39,1.11,-0.09,0.04,-0.09,Ban Normal
00:01:34:327,0.03,-0.29,1.28,-0.46,-0.04,-0.13,Ban Normal
00:01:34:427,0,0.01,1.03,-0.1,-0.14,-0.04,Ban Normal
00:01:34:528,0.01,-0.1,1.24,0.07,-0.1,-0.04,Ban Normal
00:01:34:628,-0.04,-0.42,1.12,-0.11,-0.04,-0.03,Ban Normal
00:01:34:728,-0.03,-0.37,0.81,-0.26,-0.08,0.03,Ban Normal
00:01:34:828,-0.04,-0.29,0.96,-0.16,-0.02,0.05,Ban Normal
00:01:34:928,-0.06,0.02,1.2,-0.08,0.03,0.07,Ban Normal
00:01:35:028,0,-0.08,1.18,-0.07,0.13,0.01,Ban Normal
00:01:35:128,-0.09,-0.16,0.96,-0.06,0.09,0.08,Ban Normal
00:01:35:228,-0.04,-0.13,0.89,0.02,0.08,0.05,Ban Normal
00:01:35:328,-0.07,-0.12,1.3,-0.17,0.22,0.05,Ban Normal
00:01:35:428,-0.03,-0.43,0.85,-0.26,0.11,0,Ban Normal
00:01:35:528,-0.03,-0.23,1.14,-0.12,0.22,0.02,Ban Normal
00:01:35:628,0,-0.05,1.05,-0.18,0.07,-0.05,Ban Normal
00:01:35:728,0,-0.32,1.12,-0.27,0.1,-0.1,Ban Normal
00:01:35:827,-0.05,-0.13,1.14,-0.22,0.06,-0.14,Ban Normal
00:01:35:928,-0.01,-0.31,0.86,-0.13,-0.04,-0.16,Ban Normal
00:01:36:028,-0.01,0.12,1.21,0.01,0,-0.15,Ban Normal
00:01:36:128,-0.09,-0.33,0.8,0.18,-0.03,-0.09,Ban Normal
00:01:36:228,0,-0.24,1.18,-0.1,-0.01,-0.12,Ban Normal
00:01:36:327,-0.06,-0.31,0.83,0.01,-0.04,-0.1,Ban Normal
00:01:36:428,0,-0.24,1.13,-0.04,-0.06,-0.11,Ban Normal
00:01:36:527,-0.07,-0.27,1.35,-0.18,-0.06,-0.08,Ban Normal
00:01:36:628,-0.01,-0.3,0.83,-0.03,-0.11,-0.06,Ban Normal
00:01:36:728,-0.08,-0.42,0.89,-0.23,-0.03,-0.09,Ban Normal
00:01:36:828,-0.03,-0.37,0.85,-0.03,-0.11,-0.15,Ban Normal
00:01:36:928,-0.05,-0.3,0.85,-0.17,-0.16,-0.14,Ban Normal
00:01:37:028,-0.03,-0.23,1.13,-0.3,-0.05,-0.05,Ban Normal
00:01:37:128,0,0.01,1.13,-0.03,-0.11,-0.01,Ban Normal
00:01:37:227,-0.04,-0.17,1.06,-0.07,-0.06,0.04,Ban Normal
00:01:37:327,-0.04,-0.37,0.98,0.05,0.01,0.06,Ban Normal
00:01:37:428,-0.05,0.03,1.16,-0.08,0.08,0.09,Ban Normal
00:01:37:527,-0.04,-0.29,0.83,-0.08,0,0.05,Ban Normal
00:01:37:628,-0.03,-0.27,1.03,-0.09,0.06,0.03,Ban Normal
00:01:37:728,0.01,-0.05,1.14,-0.13,0.07,0.03,Ban Normal
00:01:37:828,-0.03,-0.42,0.91,-0.31,0.05,-0.05,Ban Normal
00:01:37:928,0.02,-0.17,1.17,-0.39,0.07,-0.03,Ban Normal
00:01:38:028,0,-0.16,0.79,-0.12,-0.11,-0.01,Ban Normal
00:01:38:128,-0.03,-0.05,1.13,-0.04,0.03,-0.03,Ban Normal
00:01:38:228,-0.08,-0.2,0.74,0.08,-0.16,0,Ban Normal
00:01:38:328,0.08,-0.25,1.1,-0.13,0.21,-0.09,Ban Normal
00:01:38:428,-0.09,-0.15,1.17,-0.4,-0.11,-0.1,Ban Normal
00:01:38:528,-0.01,-0.08,1.21,-0.05,-0.01,-0.02,Ban Normal
00:01:38:627,-0.04,-0.35,0.9,-0.11,-0.05,-0.02,Ban Normal
00:01:38:728,-0.03,-0.09,1.13,-0.05,-0.09,0,Ban Normal
00:01:38:828,-0.05,-0.33,1.1,0,-0.04,0.01,Ban Normal
00:01:38:928,-0.03,-0.23,0.89,-0.15,-0.05,0.04,Ban Normal
00:01:39:028,-0.01,-0.03,1.09,-0.04,-0.04,0.03,Ban Normal
00:01:39:128,-0.04,-0.27,0.79,-0.11,-0.02,0.06,Ban Normal
00:01:39:228,-0.07,-0.18,0.98,0.01,0.04,0.08,Ban Normal
00:01:39:328,0.03,-0.17,1.12,-0.03,-0.03,0.02,Ban Normal
00:01:39:428,-0.06,-0.35,0.85,-0.07,0.07,0.05,Ban Normal
00:01:39:528,0,-0.3,0.99,-0.02,-0.02,0.05,Ban Normal
00:01:39:628,-0.02,-0.14,1.26,-0.12,0.05,0.05,Ban Normal
00:01:39:727,-0.05,-0.24,1.02,-0.31,0.17,0.04,Ban Normal
00:01:39:827,-0.06,-0.24,0.88,-0.16,-0.01,0.03,Ban Normal
00:01:39:928,-0.02,-0.22,1.13,-0.21,0.03,0.04,Ban Normal
00:01:40:028,-0.02,-0.01,0.95,-0.06,0.11,0.04,Ban Normal
00:01:40:128,-0.04,-0.25,1.03,-0.12,0.1,0.03,Ban Normal
00:01:40:227,-0.07,-0.38,0.93,-0.16,0.08,-0.01,Ban Normal
00:01:40:327,-0.07,-0.4,0.84,-0.09,0.1,0,Ban Normal
00:01:40:428,-0.02,-0.23,1.02,-0.08,0.03,-0.02,Ban Normal
00:01:40:528,0,-0.24,1.11,-0.1,0.01,-0.02,Ban Normal
00:01:40:627,-0.03,-0.05,1.15,-0.03,0.19,-0.02,Ban Normal
00:01:40:727,-0.02,-0.15,1.16,-0.04,0.06,-0.05,Ban Normal
00:01:40:827,-0.01,-0.08,0.99,-0.12,-0.04,-0.08,Ban Normal
00:01:40:928,-0.09,-0.11,0.92,0.08,0.09,-0.06,Ban Normal
00:01:41:028,-0.06,-0.2,0.96,-0.1,0.03,-0.1,Ban Normal
00:01:41:128,-0.05,-0.35,0.95,-0.15,-0.1,-0.12,Ban Normal
00:01:41:228,-0.07,-0.32,0.87,-0.04,-0.04,-0.09,Ban Normal
00:01:41:328,-0.08,-0.44,0.88,-0.05,-0.08,-0.07,Ban Normal
00:01:41:428,-0.06,-0.42,0.93,-0.11,-0.1,-0.04,Ban Normal
00:01:41:528,-0.05,-0.34,0.84,-0.02,-0.12,-0.05,Ban Normal
00:01:41:628,-0.07,-0.39,0.93,-0.27,0.04,-0.04,Ban Normal
00:01:41:728,-0.02,-0.28,0.64,-0.25,-0.11,-0.01,Ban Normal
00:01:41:828,-0.04,-0.28,0.9,-0.24,-0.07,0,Ban Normal
00:01:41:927,-0.04,-0.37,0.97,-0.15,-0.03,-0.01,Ban Normal
00:01:42:028,-0.02,-0.34,1.01,-0.22,0,-0.02,Ban Normal
00:01:42:128,-0.08,-0.2,0.97,-0.06,0.01,-0.03,Ban Normal
00:01:42:228,-0.04,-0.08,0.92,-0.21,-0.11,-0.07,Ban Normal
00:01:42:328,-0.08,0.02,0.97,-0.22,-0.11,-0.06,Ban Normal
00:01:42:428,-0.01,-0.02,1.1,-0.31,0.01,-0.03,Ban Normal
00:01:42:528,0,-0.16,1.18,-0.05,-0.11,-0.03,Ban Normal
00:01:42:628,0,-0.05,0.86,0.17,-0.2,0.02,Ban Normal
00:01:42:728,-0.07,-0.32,1.07,-0.18,-0.08,0.03,Ban Normal
00:01:42:828,-0.01,-0.36,0.96,-0.33,-0.12,0.03,Ban Normal
00:01:42:928,-0.04,-0.32,1.12,-0.26,0.08,0.04,Ban Normal
00:01:43:027,0.01,-0.16,0.82,-0.06,-0.19,0.07,Ban Normal
00:01:43:127,-0.04,-0.18,1.06,-0.03,0.1,0.1,Ban Normal
00:01:43:228,-0.03,-0.4,1.03,0.09,-0.07,0.09,Ban Normal
00:01:43:327,-0.01,-0.35,0.83,-0.13,0.1,0.08,Ban Normal
00:01:43:427,-0.07,-0.04,0.95,0.02,0,0.1,Ban Normal
00:01:43:527,-0.07,-0.11,1.33,0.12,0.05,0.07,Ban Normal
00:01:43:627,-0.03,-0.43,1.17,-0.06,0.08,0.02,Ban Normal
00:01:43:727,-0.04,-0.27,0.92,0.03,0.03,0.04,Ban Normal
00:01:43:827,0,-0.01,1.07,-0.38,0.1,0.01,Ban Normal
00:01:43:927,-0.06,-0.18,0.55,0.07,-0.01,0.03,Ban Normal
00:01:44:028,-0.04,0.08,0.71,-0.18,0.11,0,Ban Normal
00:01:44:127,-0.03,-0.01,1.38,0.08,0.04,-0.03,Ban Normal
00:01:44:228,0.01,-0.26,1.02,-0.15,0.12,-0.05,Ban Normal
00:01:44:327,-0.04,-0.18,1.07,-0.25,-0.01,-0.06,Ban Normal
00:01:44:427,0,-0.31,0.98,-0.18,0.06,-0.02,Ban Normal
00:01:44:527,-0.01,-0.18,0.89,-0.13,0.04,-0.03,Ban Normal
00:01:44:627,-0.03,-0.23,1,-0.26,0.04,-0.05,Ban Normal
00:01:44:727,-0.03,-0.14,0.76,-0.13,-0.04,-0.07,Ban Normal
00:01:44:828,-0.02,-0.06,0.86,-0.03,-0.02,-0.05,Ban Normal
00:01:44:928,-0.02,-0.28,1.05,-0.15,-0.07,-0.07,Ban Normal
00:01:45:028,-0.01,-0.14,1.08,-0.11,-0.09,-0.08,Ban Normal
00:01:45:128,0,-0.35,0.97,-0.12,-0.04,-0.06,Ban Normal
00:01:45:227,-0.03,-0.18,1.15,-0.12,-0.04,-0.07,Ban Normal
00:01:45:328,-0.03,-0.44,0.87,-0.02,-0.06,-0.02,Ban Normal
00:01:45:427,-0.06,-0.38,1.01,-0.08,-0.07,-0.03,Ban Normal
00:01:45:527,-0.05,-0.3,1.09,-0.07,-0.04,0.01,Ban Normal
00:01:45:628,-0.02,-0.31,1.12,-0.12,-0.03,0.01,Ban Normal
00:01:45:727,-0.01,-0.29,1.21,-0.04,-0.02,0.01,Ban Normal
00:01:45:827,-0.02,-0.37,1.02,-0.16,-0.04,0.01,Ban Normal
00:01:45:927,0.01,-0.4,1,-0.18,0.03,-0.03,Ban Normal
00:01:46:028,-0.01,-0.38,0.93,-0.11,-0.1,0,Ban Normal
00:01:46:127,-0.04,-0.27,0.96,0.07,0.04,0.05,Ban Normal
00:01:46:227,-0.08,-0.42,1.02,0.02,0.03,0.04,Ban Normal
00:01:46:328,-0.03,-0.2,1.16,0.05,0.04,0.04,Ban Normal
00:01:46:428,-0.09,-0.34,0.89,-0.02,0.09,0.06,Ban Normal
00:01:46:528,-0.02,-0.17,1.08,-0.11,0.07,0.05,Ban Normal
00:01:46:628,-0.06,-0.02,0.86,-0.06,0.14,0.02,Ban Normal
00:01:46:728,-0.09,-0.35,0.83,-0.18,0.1,-0.02,Ban Normal
00:01:46:828,0.02,-0.29,1,-0.15,0.01,-0.06,Ban Normal
00:01:46:928,0,-0.33,0.88,-0.24,0.03,-0.07,Ban Normal
00:01:47:028,-0.04,-0.36,0.86,-0.17,-0.03,-0.05,Ban Normal
00:01:47:128,0,-0.15,1.06,-0.04,-0.04,-0.05,Ban Normal
00:01:47:228,-0.05,-0.17,1.25,0.09,-0.04,-0.08,Ban Normal
00:01:47:328,-0.06,-0.44,0.89,-0.07,-0.01,-0.08,Ban Normal
00:01:47:428,-0.06,-0.31,0.89,-0.16,-0.05,-0.07,Ban Normal
00:01:47:528,-0.04,-0.41,0.97,-0.09,-0.1,-0.03,Ban Normal
00:01:47:628,-0.03,-0.24,0.87,-0.1,-0.01,-0.02,Ban Normal
00:01:47:728,-0.03,-0.14,0.96,-0.09,-0.04,-0.03,Ban Normal
00:01:47:828,-0.01,-0.17,1,-0.09,-0.07,-0.04,Ban Normal
00:01:47:928,-0.02,-0.23,0.91,-0.21,-0.07,-0.01,Ban Normal
00:01:48:028,-0.03,-0.32,0.95,-0.2,-0.01,-0.01,Ban Normal
00:01:48:128,0,-0.36,1.08,0.02,-0.03,0.03,Ban Normal
00:01:48:228,-0.07,-0.49,0.94,-0.11,0.14,0.03,Ban Normal
00:01:48:328,0,-0.32,1.14,-0.11,0.04,0,Ban Normal
00:01:48:428,-0.04,-0.42,0.84,-0.18,0,-0.01,Ban Normal
00:01:48:528,-0.01,-0.26,0.99,-0.23,0.09,0,Ban Normal
00:01:48:628,-0.04,-0.27,0.9,-0.15,0,-0.04,Ban Normal
00:01:48:728,-0.04,-0.3,1.16,-0.08,0.03,-0.01,Ban Normal
00:01:48:828,-0.05,-0.28,1.06,-0.04,0,-0.01,Ban Normal
00:01:48:928,-0.04,-0.46,0.88,-0.15,0.04,-0.02,Ban Normal
00:01:49:028,0.03,-0.37,1.05,-0.16,-0.03,-0.05,Ban Normal
00:01:49:128,-0.01,-0.2,1.13,-0.09,-0.01,-0.04,Ban Normal
00:01:49:228,0.01,-0.19,1.08,-0.02,-0.03,-0.02,Ban Normal
00:01:49:328,-0.06,-0.21,1.18,-0.15,0.02,-0.04,Ban Normal
00:01:49:428,-0.02,-0.25,1.03,-0.03,0.01,-0.02,Ban Normal
00:01:49:528,-0.02,-0.24,1.02,-0.08,-0.09,-0.05,Ban Normal
00:01:49:628,-0.02,-0.29,0.97,-0.09,-0.05,-0.04,Ban Normal
00:01:49:728,0.03,-0.37,1.06,-0.09,-0.03,-0.01,Ban Normal
00:01:49:828,-0.02,-0.46,1.08,-0.31,-0.05,-0.03,Ban Normal
00:01:49:928,-0.04,-0.45,1.06,-0.22,0.02,0,Ban Normal
00:01:50:028,-0.06,-0.19,1.11,-0.27,-0.03,-0.01,Ban Normal
00:01:50:128,-0.01,-0.3,0.91,-0.13,-0.05,0.03,Ban Normal
00:01:50:228,-0.04,-0.31,0.95,-0.18,0.05,0.04,Ban Normal
00:01:50:328,-0.05,-0.27,1.04,-0.03,0.05,0.05,Ban Normal
00:01:50:428,-0.05,-0.26,1.13,-0.15,0.05,0.03,Ban Normal
00:01:50:528,-0.05,-0.37,1.01,-0.04,0.06,0.02,Ban Normal
00:01:50:628,-0.01,-0.37,1.2,-0.2,0.06,-0.02,Ban Normal
00:01:50:728,0,-0.3,1.07,-0.15,0.02,-0.05,Ban Normal
00:01:50:828,-0.04,-0.33,0.97,-0.13,0.03,-0.04,Ban Normal
00:01:50:928,-0.04,-0.24,0.91,-0.1,0.01,-0.03,Ban Normal
00:01:51:028,-0.02,-0.3,0.94,-0.14,0.02,-0.03,Ban Normal
00:01:51:128,-0.03,-0.26,1.02,-0.19,0.01,-0.06,Ban Normal
00:01:51:228,-0.01,-0.24,0.94,-0.15,-0.04,-0.06,Ban Normal
00:01:51:328,0.03,-0.18,0.8,-0.08,-0.07,-0.06,Ban Normal
00:01:51:428,-0.01,-0.35,0.96,-0.08,0.03,-0.05,Ban Normal
00:01:51:528,-0.03,-0.51,1.01,-0.1,-0.01,-0.04,Ban Normal
00:01:51:628,-0.05,-0.34,1.1,-0.2,-0.01,-0.02,Ban Normal
00:01:51:728,-0.01,-0.32,1.02,-0.15,0.02,0.01,Ban Normal
00:01:51:827,0,-0.36,0.98,-0.1,-0.03,0,Ban Normal
00:01:51:928,-0.03,-0.38,0.93,0.02,0.04,0.03,Ban Normal
00:01:52:028,-0.02,-0.37,1.07,-0.1,0.02,0,Ban Normal
00:01:52:128,-0.02,-0.27,1.06,-0.14,0,0.01,Ban Normal
00:01:52:228,-0.02,-0.31,1.05,-0.11,0.05,-0.01,Ban Normal
00:01:52:328,-0.02,-0.41,0.9,-0.18,0.01,-0.06,Ban Normal
00:01:52:428,-0.02,-0.49,1.05,-0.21,0,-0.06,Ban Normal
00:01:52:528,0,-0.31,0.98,-0.14,-0.03,-0.06,Ban Normal
00:01:52:628,-0.02,-0.42,1.04,-0.16,0,-0.07,Ban Normal
00:01:52:728,-0.01,-0.44,0.96,-0.05,-0.06,-0.05,Ban Normal
00:01:52:826,-0.02,-0.36,0.84,-0.08,0.04,-0.02,Ban Normal
00:01:52:928,-0.01,-0.42,0.99,-0.12,0,-0.02,Ban Normal
00:01:53:028,-0.04,-0.31,1.08,-0.14,0.03,-0.01,Ban Normal
00:01:53:128,-0.04,-0.3,1.05,-0.12,0.03,-0.01,Ban Normal
00:01:53:228,0.02,-0.34,0.81,-0.15,-0.02,-0.02,Ban Normal
00:01:53:328,-0.02,-0.36,0.92,-0.02,0.01,-0.04,Ban Normal
00:01:53:428,-0.02,-0.39,1.07,-0.11,0,-0.06,Ban Normal
00:01:53:528,-0.05,-0.16,0.96,-0.04,-0.02,-0.08,Ban Normal
00:01:53:628,-0.03,-0.46,0.92,-0.06,-0.02,-0.07,Ban Normal
00:01:53:728,-0.02,-0.39,1.07,-0.11,-0.07,-0.03,Ban Normal
00:01:53:828,-0.02,-0.37,1.03,-0.13,-0.02,-0.01,Ban Normal
00:01:53:928,-0.01,-0.32,1.01,-0.11,-0.02,0.01,Ban Normal
00:01:54:028,-0.04,-0.39,1.02,-0.12,0.04,0.06,Ban Normal
00:01:54:128,-0.04,-0.31,1.12,-0.11,0.05,0.05,Ban Normal
00:01:54:228,0,-0.28,0.87,-0.14,-0.01,0.02,Ban Normal
00:01:54:328,-0.02,-0.32,0.85,0.02,0.04,0.02,Ban Normal
00:01:54:428,0,-0.34,0.95,-0.1,0.01,0,Ban Normal
00:01:54:528,0.01,-0.29,1.01,-0.21,0.03,-0.03,Ban Normal
00:01:54:628,-0.03,-0.34,0.99,-0.09,0.03,0,Ban Normal
00:01:54:728,-0.04,-0.22,0.89,-0.12,0,-0.01,Ban Normal
00:01:54:828,0,-0.32,0.97,-0.02,0,0.01,Ban Normal
00:01:54:928,-0.03,-0.36,0.92,-0.14,0.06,0.02,Ban Normal
00:01:55:028,-0.02,-0.32,0.97,-0.14,0.05,-0.03,Ban Normal
00:01:55:128,-0.03,-0.25,1.05,-0.12,0,-0.05,Ban Normal
00:01:55:228,0,-0.34,0.95,-0.12,-0.01,-0.07,Ban Normal
00:01:55:328,-0.01,-0.44,0.94,-0.15,-0.01,-0.08,Ban Normal
00:01:55:428,0,-0.3,1.04,-0.12,-0.03,-0.1,Ban Normal
00:01:55:528,0,-0.37,1,-0.07,-0.06,-0.1,Ban Normal
00:01:55:628,-0.03,-0.28,0.98,-0.11,-0.03,-0.07,Ban Normal
00:01:55:728,-0.03,-0.25,1.03,-0.11,0,-0.04,Ban Normal
00:01:55:828,-0.03,-0.32,0.96,-0.03,0,-0.01,Ban Normal
00:01:55:928,-0.02,-0.31,1.01,0.05,-0.04,0.02,Ban Normal
00:01:56:028,-0.02,-0.42,0.94,-0.11,-0.01,0.01,Ban Normal
00:01:56:128,-0.02,-0.28,1.02,-0.07,-0.01,0.01,Ban Normal
00:01:56:228,-0.03,-0.31,0.94,-0.12,0.01,0.01,Ban Normal
00:01:56:328,-0.02,-0.31,0.99,-0.05,0.01,0.02,Ban Normal
00:01:56:428,-0.03,-0.32,0.94,-0.04,-0.02,-0.01,Ban Normal
00:01:56:528,-0.03,-0.31,1.08,-0.07,0.03,0.03,Ban Normal
00:01:56:628,-0.04,-0.37,1.12,-0.11,0.08,0.06,Ban Normal
00:01:56:728,-0.04,-0.29,0.99,-0.1,0.11,0.06,Ban Normal
00:01:56:828,-0.02,-0.3,0.94,-0.09,0.02,-0.03,Ban Normal
00:01:56:928,0.01,-0.27,0.99,-0.11,0.01,-0.09,Ban Normal
00:01:57:028,-0.01,-0.22,0.94,-0.05,0.03,-0.08,Ban Normal
00:01:57:128,-0.03,-0.36,0.95,-0.07,0,-0.08,Ban Normal
00:01:57:227,0.01,-0.31,0.96,-0.07,-0.01,-0.12,Ban Normal
00:01:57:328,-0.03,-0.3,0.88,-0.06,0,-0.14,Ban Normal
00:01:57:428,-0.02,-0.28,1.07,-0.08,-0.03,-0.18,Ban Normal
00:01:57:528,-0.02,-0.27,1,-0.1,0,-0.13,Ban Normal
00:01:57:628,-0.05,-0.24,0.92,-0.06,-0.01,-0.09,Ban Normal
00:01:57:728,-0.04,-0.25,1.04,-0.06,-0.01,-0.04,Ban Normal
00:01:57:828,-0.03,-0.23,1.09,-0.12,0.02,0.01,Ban Normal
00:01:57:928,-0.07,-0.17,1.07,-0.04,0.08,0.02,Ban Normal
00:01:58:028,-0.03,-0.31,1.08,-0.07,0.07,-0.01,Ban Normal
00:01:58:128,-0.06,-0.23,1.14,-0.1,0.04,-0.03,Ban Normal
00:01:58:228,-0.04,-0.14,0.91,0.14,0,-0.06,Ban Normal
00:01:58:328,-0.01,0.08,1.02,-0.05,-0.06,-0.09,Ban Normal
00:01:58:428,-0.03,-0.17,0.81,-0.18,-0.02,-0.09,Ban Normal
00:01:58:528,-0.05,-0.09,1.01,-0.07,-0.05,-0.07,Ban Normal
00:01:58:628,-0.03,-0.45,0.84,-0.02,-0.08,-0.09,Ban Normal
00:01:58:728,0,-0.04,1.08,-0.06,-0.06,-0.04,Ban Normal
00:01:58:828,-0.05,-0.11,0.93,-0.11,-0.02,-0.01,Ban Normal
00:01:58:928,-0.02,-0.12,1.01,-0.06,-0.05,0.04,Ban Normal
00:01:59:028,-0.09,-0.15,1.1,0.2,-0.05,0.06,Ban Normal
00:01:59:128,0,-0.04,1.05,-0.06,-0.04,0.03,Ban Normal
00:01:59:228,-0.03,-0.11,1.12,-0.15,0.01,0.03,Ban Normal
00:01:59:328,-0.02,-0.24,1.13,-0.24,0,0.04,Ban Normal
00:01:59:428,-0.04,-0.16,0.99,-0.08,-0.06,0.06,Ban Normal
00:01:59:528,-0.03,0.01,1.06,-0.06,-0.07,0.04,Ban Normal
00:01:59:628,0.01,-0.05,1.11,-0.06,-0.03,0.03,Ban Normal
00:01:59:728,0.03,-0.06,1.24,-0.07,-0.03,0.03,Ban Normal
00:01:59:828,0.01,-0.01,1.25,-0.12,-0.05,0.04,Ban Normal
00:01:59:928,-0.02,-0.11,1.05,-0.09,-0.08,0.05,Ban Normal
00:02:00:028,-0.04,-0.24,0.94,-0.14,-0.09,0.06,Ban Normal
00:02:00:128,0.02,-0.32,1.01,-0.13,-0.06,0.13,Ban Normal
00:02:00:228,-0.05,-0.33,0.92,-0.05,0.08,0.24,Ban Normal
00:02:00:328,-0.06,-0.44,0.99,-0.14,0.1,0.24,Ban Normal
00:02:00:428,-0.04,-0.35,1.1,-0.13,0.16,0.23,Ban Normal
00:02:00:528,-0.03,-0.35,1.02,-0.04,0.13,0.19,Ban Normal
00:02:00:628,0,-0.3,0.92,-0.06,0.13,0.08,Ban Normal
00:02:00:728,-0.02,-0.2,1.07,-0.1,0.09,-0.08,Ban Normal
00:02:00:828,0.01,-0.3,0.96,-0.07,0.03,-0.17,Ban Normal
00:02:00:928,-0.02,-0.22,1.03,-0.09,0.01,-0.17,Ban Normal
00:02:01:028,-0.02,-0.2,1.05,-0.11,0,-0.16,Ban Normal
00:02:01:128,-0.03,-0.33,0.91,-0.15,-0.03,-0.11,Ban Normal
00:02:01:228,-0.01,-0.32,0.97,-0.14,-0.05,-0.07,Ban Normal
00:02:01:328,-0.01,-0.27,0.99,-0.07,-0.05,-0.05,Ban Normal
00:02:01:428,-0.01,-0.24,1.08,-0.11,-0.01,-0.01,Ban Normal
00:02:01:528,-0.04,-0.25,0.97,-0.15,-0.02,-0.01,Ban Normal
00:02:01:628,-0.02,-0.3,1,-0.04,0,0.01,Ban Normal
00:02:01:728,-0.02,-0.28,1.07,-0.08,0,0.03,Ban Normal
00:02:01:828,-0.04,-0.32,1.03,-0.13,0.01,0.04,Ban Normal
00:02:01:928,-0.02,-0.24,1.03,-0.04,0.01,0.05,Ban Normal
00:02:02:028,-0.02,-0.27,0.94,-0.07,0.02,0.01,Ban Normal
00:02:02:128,-0.03,-0.23,1.06,-0.1,0.05,0.03,Ban Normal
00:02:02:228,-0.01,-0.3,1.04,-0.09,0.01,0.01,Ban Normal
00:02:02:328,-0.05,-0.34,1.03,-0.13,0.03,-0.04,Ban Normal
00:02:02:428,-0.01,-0.2,1.07,-0.07,0.01,-0.05,Ban Normal
00:02:02:528,0,-0.39,1.05,-0.14,0.02,-0.04,Ban Normal
00:02:02:628,-0.05,-0.19,1.09,-0.11,0.03,-0.03,Ban Normal
00:02:02:727,-0.04,-0.26,0.99,-0.04,0.07,0.02,Ban Normal
00:02:02:828,-0.04,-0.17,1.02,0.06,0.09,-0.01,Ban Normal
00:02:02:928,-0.01,-0.14,1.17,-0.01,0.03,-0.06,Ban Normal
00:02:03:028,0,-0.23,0.98,-0.07,0.01,-0.08,Ban Normal
00:02:03:128,-0.04,-0.16,1.14,-0.09,0,-0.02,Ban Normal
00:02:03:228,-0.03,-0.2,1.09,-0.16,0.06,0,Ban Normal
00:02:03:328,-0.02,-0.32,0.82,-0.05,-0.01,-0.03,Ban Normal
00:02:03:428,-0.01,-0.25,0.95,-0.05,0.03,-0.07,Ban Normal
00:02:03:528,-0.03,-0.22,1.05,-0.05,0.02,-0.07,Ban Normal
00:02:03:628,-0.03,-0.08,1.1,-0.1,-0.01,-0.08,Ban Normal
00:02:03:728,-0.04,-0.19,0.85,-0.09,-0.08,-0.06,Ban Normal
00:02:03:828,0,-0.1,1.1,-0.18,-0.02,-0.07,Ban Normal
00:02:03:928,-0.03,-0.14,0.98,-0.03,-0.06,-0.05,Ban Normal
00:02:04:028,0.01,0.03,0.97,-0.09,-0.03,-0.04,Ban Normal
00:02:04:128,-0.02,-0.24,1.05,-0.21,0.01,-0.04,Ban Normal
